"country_name","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Nicaragua",3.8,5.3,8.5,9.6,9.1,11.1,19.8,3.7,5.5,8.1,7.2,7.1,6,4,3.5,3.9,4.9,5.4,3.7,4.9,10.5,9.1,5
"Niger",2.5,-1.5,0.2,7.8,0,0.1,11.3,0.5,0.9,2.9,0.5,2.3,-0.9,1,0.2,0.2,2.8,-2.5,2.9,3.8,4.2,4.6,6.6
"Nigeria",12.9,14,15,17.9,8.2,5.4,11.6,12.5,13.7,10.8,12.2,8.5,8,9,15.7,16.5,12.1,11.4,13.2,17,18.8,25.1,23
"North Korea",-2.6,-1.6,1,4.4,5.1,5.6,8.6,1.2,2.8,5.8,6.1,5.5,6,4.6,2.4,1.2,3,2.8,0.8,0,1,0.9,1.7
"Norway",1.3,2.5,0.5,1.5,2.3,0.7,3.8,2.2,2.4,1.3,0.7,2.1,2,2.2,3.6,1.9,2.8,2.2,1.3,3.5,5.8,5.8,3.7
"Oman",-0.3,0.2,0.8,1.9,3.2,5.9,12.6,3.5,3.3,4.1,2.9,1,1,0.1,1.1,1.6,0.9,0.1,-0.9,1.5,2.8,1.1,1.7
"Pakistan",3.5,3.1,4.6,9.3,7.9,7.8,12,19.6,10.1,13.7,11,7.4,8.6,4.5,2.9,4.1,3.9,6.7,10.7,8.9,12.1,29.2,23.6
"Palau",-0.3,0.6,0.5,3.6,4.2,3,9.9,4.7,1.1,2.6,5.4,2.8,4,2.2,-1.3,1.1,2.4,0.4,0.7,-0.5,13.2,12.5,4.6
"Palestine",0.2,1.4,2.5,5.6,5.2,4.2,5.2,0.3,2.5,2.9,1.3,1.1,0.6,-0.8,-0.3,1.8,1.3,0.1,-0.5,2.4,5.9,2.9,1.5
"Panama",1,0.1,0.5,2.9,2.5,4.2,8.8,2.4,3.5,5.9,5.7,4,2.6,0.1,0.7,0.9,0.8,-0.4,-1.6,1.6,2.9,1.5,1.9
"Papua New Guinea",11.8,14.7,2.2,1.8,2.4,0.9,10.8,6.9,5.1,4.4,4.5,5,5.2,6,6.7,5.4,4.4,3.9,4.9,4.5,5.3,5,4.9
"Paraguay",10.5,14.2,4.3,6.8,9.6,8.1,10.2,2.6,4.7,8.3,3.7,2.7,5,3.1,4.1,3.6,4,2.8,1.8,4.8,9.8,4.7,4.1
"Peru",0.2,2.3,3.7,1.6,2,1.8,5.8,2.9,1.5,3.4,3.7,2.8,3.2,3.5,3.6,2.8,1.3,2.1,1.8,4,7.9,6.5,2.9
"Philippines",2.8,2.2,4.8,6.6,5.4,2.9,8.2,4.2,3.7,4.7,3.2,2.6,3.6,0.7,1.2,2.9,5.3,2.4,2.4,3.9,5.8,5.8,3.2
"Poland",1.9,0.7,3.5,2.2,1.2,2.5,4.3,3.8,2.6,4.2,3.7,1.1,0.1,-0.9,-0.7,2,1.8,2.2,3.4,5.1,14.4,12,6.4
"Portugal",3.7,3.2,2.5,2.1,3,2.4,2.7,-0.9,1.4,3.6,2.8,0.4,-0.2,0.5,0.6,1.6,1.2,0.3,-0.1,0.9,8.1,5.3,3.4
"Qatar",0.2,2.3,6.8,9,11.7,13.7,15.1,-4.9,-2.4,2,1.8,3.1,4.2,0.9,2.7,0.6,0.1,-0.9,-2.5,2.3,5,2.8,2.3
"Romania",22.5,15.4,11.9,9,6.6,4.8,7.8,5.6,6.1,5.8,3.3,4,1.1,-0.6,-1.6,1.3,4.6,3.8,2.6,5,13.8,10.7,5.8
"Russia",15.8,13.7,10.9,12.7,9.7,9,14.1,11.6,6.8,8.4,5.1,6.8,7.8,15.5,7,3.7,2.9,4.5,3.4,6.7,13.8,5.3,6.3
"Rwanda",2,7.4,12,9.1,8.8,9.1,15.4,10.3,2.3,5.7,6.3,4.2,1.8,2.5,5.7,4.8,1.4,2.4,7.7,0.8,13.9,14.5,6
"Saint Kitts and Nevis",2.1,2.3,2.2,3.4,8.5,4.5,5.3,2.1,0.9,5.8,0.8,1.1,0.2,-2.3,-0.7,0.7,-1,-0.3,-1.2,1.2,2.7,2.9,2.3
"Saint Lucia",-0.3,1,1.5,3.9,3.6,2.8,5.5,-0.2,3.3,2.8,4.2,1.5,3.5,-1,-3.1,0.1,2.6,0.5,-1.8,2.4,6.4,3.6,2
"Saint Vincent and the Grenadines",0.7,0.1,2.9,3.4,3,7,10.1,0.4,0.8,3.2,2.6,0.8,0.2,-1.7,-0.2,2.2,2.3,0.9,-0.6,1.6,5.7,4.4,2.4
